NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations
NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT00622700,COMPLETED,Multiple Sclerosis,DRUG: Teriflunomide|DRUG: Placebo,Sanofi,,ALL,ADULT,PHASE3,618,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2008-02,2012-12,2016-02,"Investigational Site Number 8965, Cullman, Alabama, 35058, United States|Investigational Site Number 8954, Phoenix, Arizona, 85013-4496, United States|Investigational Site Number 8946, Phoenix, Arizona, 85060, United States|Investigational Site Number 8962, Fort Collins, Colorado, 80528, United States|Investigational Site Number 8920, Maitland, Florida, 32761, United States|Investigational Site Number 8953, St. Petersburg, Florida, 33701, United States|Investigational Site Number 8914, Ft. Wayne, Indiana, 63104, United States|Investigational Site Number 8940, Indianapolis, Indiana, 46256, United States|Investigational Site Number 8922, Shreveport, Louisiana, 71103, United States|Investigational Site Number 8955, Grand Rapids, Michigan, 49503, United States|Investigational Site Number 8949, Traverse City, Michigan, 49684, United States|Investigational Site Number 8937, St Louis, Missouri, 63104, United States|Investigational Site Number 8951, Albuquerque, New Mexico, 87131, United States|Investigational Site Number 8925, New York, New York, 10029-6574, United States|Investigational Site Number 8941, Charlotte, North Carolina, 28204, United States|Investigational Site Number 8924, Dayton, Ohio, 45409, United States|Investigational Site Number 8905, Round Rock, Tennessee, 78681, United States|Investigational Site Number 8930, Burlington, Vermont, 05401, United States|Investigational Site Number 8963, Seattle, Washington, 98122, United States|Investigational Site Number 1405, Geelong, 3220, Australia|Investigational Site Number 1404, Heidelberg, 3081, Australia|Investigational Site Number 1407, Hobart, 7001, Australia|Investigational Site Number 1401, Parkville, 3050, Australia|Investigational Site Number 4004, Innsbruck, 6020, Austria|Investigational Site Number 4005, Linz, 4020, Austria|Investigational Site Number 4001, Wien, 1010, Austria|Investigational Site Number 5312, Pleven, 5800, Bulgaria|Investigational Site Number 5307, Sofia, 1000, Bulgaria|Investigational Site Number 5304, Sofia, 1407, Bulgaria|Investigational Site Number 5309, Sofia, 1431, Bulgaria|Investigational Site Number 5303, Sofia, 1527, Bulgaria|Investigational Site Number 5306, Sofia, 1606, Bulgaria|Investigational Site Number 5402, Greenfield Park, J4V 2J2, Canada|Investigational Site Number 5403, London, N6A 5A5, Canada|Investigational Site Number 5409, Montreal, H1T 2M4, Canada|Investigational Site Number 5401, Ottawa, K1H 8L6, Canada|Investigational Site Number 5406, Quebec, G1J 1Z4, Canada|Investigational Site Number 5408, Sherbrooke, J1H 5N4, Canada|Investigational Site Number 5410, Toronto, M4N 3M5, Canada|Investigational Site Number 5404, Toronto, M5B 1W8, Canada|Investigational Site Number 5602, Santiago, 760-0746, Chile|Investigational Site Number 5601, Santiago, Chile|Investigational Site Number 5606, Santiago, Chile|Investigational Site Number 5605, Viña Del Mar, 2520997, Chile|Investigational Site Number 5801, Brno, 65691, Czech Republic|Investigational Site Number 5803, Hradec Kralove, 50005, Czech Republic|Investigational Site Number 5804, Olomouc, 77520, Czech Republic|Investigational Site Number 5805, Ostrava - Poruba, 70852, Czech Republic|Investigational Site Number 6002, Aarhus C, 8000, Denmark|Investigational Site Number 6004, Esbjerg, 6700, Denmark|Investigational Site Number 6201, Tallinn, 10617, Estonia|Investigational Site Number 6203, Tartu, 50406, Estonia|Investigational Site Number 6405, Helsinki, 00100, Finland|Investigational Site Number 6403, Kuopio, 70210, Finland|Investigational Site Number 6401, Turku, 20100, Finland|Investigational Site Number 6611, Besancon, 25030, France|Investigational Site Number 6601, Clermont Ferrand Cedex 1, 63003, France|Investigational Site Number 6609, Lille Cedex, 59037, France|Investigational Site Number 6604, Montpellier Cedex 05, 34295, France|Investigational Site Number 6612, Nancy Cedex, 54036, France|Investigational Site Number 6605, Nantes Cedex 01, 44093, France|Investigational Site Number 6602, Nice Cedex, 06002, France|Investigational Site Number 6614, Nimes, 30029, France|Investigational Site Number 6607, Strasbourg Cedex, 67091, France|Investigational Site Number 6801, Bayreuth, 95445, Germany|Investigational Site Number 6810, Berlin, 10713, Germany|Investigational Site Number 6805, Berlin, 10785, Germany|Investigational Site Number 6807, Erbach, 64711, Germany|Investigational Site Number 6803, Essen, 45122, Germany|Investigational Site Number 6809, Hannover, 30625, Germany|Investigational Site Number 6804, Ludwigshafen, 67063, Germany|Investigational Site Number 6815, Minden, 32429, Germany|Investigational Site Number 6802, Münster, 48149, Germany|Investigational Site Number 6806, Wiesbaden, 65191, Germany|Investigational Site Number 7101, Budapest, 1076, Hungary|Investigational Site Number 7103, Budapest, 1145, Hungary|Investigational Site Number 7108, Esztergom, 2500, Hungary|Investigational Site Number 7105, Veszprém, 8200, Hungary|Investigational Site Number 7402, Klaipeda, LT-92288, Lithuania|Investigational Site Number 7403, Siauliai, LT-76231, Lithuania|Investigational Site Number 7401, Vilnius, LT-08661, Lithuania|Investigational Site Number 7501, Chihuahua, 31203, Mexico|Investigational Site Number 7502, Guadalajara, 45110, Mexico|Investigational Site Number 7709, Gdansk, 80-803, Poland|Investigational Site Number 7710, Lodz, 93-513, Poland|Investigational Site Number 7707, Warszawa 44, 04-141, Poland|Investigational Site Number 7701, Warszawa, 02-097, Poland|Investigational Site Number 7703, Warszawa, 02-957, Poland|Investigational Site Number 7803, Bucuresti, 020125, Romania|Investigational Site Number 7806, Bucuresti, 050098, Romania|Investigational Site Number 7805, Cluj-Napoca, 400012, Romania|Investigational Site Number 7807, Cluj-Napoca, 400012, Romania|Investigational Site Number 7808, Timisoara, 300736, Romania|Investigational Site Number 7907, Kazan, 420021, Russian Federation|Investigational Site Number 7909, Nizhny Novgorod, 603000, Russian Federation|Investigational Site Number 7906, Nizhny Novgorod, 603076, Russian Federation|Investigational Site Number 7904, Nizhny Novgorod, 603126, Russian Federation|Investigational Site Number 7912, Novosibirsk, 630007, Russian Federation|Investigational Site Number 7910, Rostov-On-Don, 344085, Russian Federation|Investigational Site Number 7905, Smolensk, 214019, Russian Federation|Investigational Site Number 7911, St-Petersburg, 194044, Russian Federation|Investigational Site Number 8304, Edirne, Turkey|Investigational Site Number 8309, Istanbul, 34390, Turkey|Investigational Site Number 8315, Istanbul, 34400, Turkey|Investigational Site Number 8308, Istanbul, Turkey|Investigational Site Number 8310, Istanbul, Turkey|Investigational Site Number 8312, Istanbul, Turkey|Investigational Site Number 8305, Izmir, 35100, Turkey|Investigational Site Number 8301, Izmir, 35340, Turkey|Investigational Site Number 8303, Izmir, 35380, Turkey|Investigational Site Number 8302, Izmit, 41380, Turkey|Investigational Site Number 8314, Trabzon, 61080, Turkey|Investigational Site Number 8507, Chernihiv, 14029, Ukraine|Investigational Site Number 8501, Dnipropetrovsk, 49027, Ukraine|Investigational Site Number 8511, Donets'K, 83099, Ukraine|Investigational Site Number 8506, Kharkiv, 61018, Ukraine|Investigational Site Number 8504, Kharkiv, 61178, Ukraine|Investigational Site Number 8508, Kiev, 03110, Ukraine|Investigational Site Number 8512, Lutsk, 43005, Ukraine|Investigational Site Number 8505, Lviv, 79010, Ukraine|Investigational Site Number 8510, Poltava, 36011, Ukraine|Investigational Site Number 8503, Vinnytsya, 21005, Ukraine|Investigational Site Number 8502, Zaporizhzhya, 69000, Ukraine|Investigational Site Number 8709, Liverpool, L9 7LJ, United Kingdom|Investigational Site Number 8701, London, E1 1BB, United Kingdom|Investigational Site Number 8704, London, SW17 0QT, United Kingdom|Investigational Site Number 8706, Newcastle Upon Tyne, NE1 4LP, United Kingdom|Investigational Site Number 8705, Nottingham, NG7 2UH, United Kingdom|Investigational Site Number 8708, Plymouth, PL6 5BX, United Kingdom|Investigational Site Number 8707, Salford, M6 8HD, United Kingdom|Investigational Site Number 8702, Sheffield, S10 2JF, United Kingdom"
NCT03396822,Meningeal Inflammation on 7T MRI as a Tool for Measuring and Predicting Ocrelizumab Response in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT03396822,ACTIVE_NOT_RECRUITING,Multiple Sclerosis,DRUG: Gadoteridol,"University of Maryland, Baltimore","Genentech, Inc.",ALL,"ADULT, OLDER_ADULT",,24,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-09-24,2023-03,2023-03,"University of Maryland School of Medicine, Baltimore, Maryland, 21201, United States"
NCT03039400,Physiotherapist-guided Home Exercise in Moderate to Severe MS,https://beta.clinicaltrials.gov/study/NCT03039400,COMPLETED,Multiple Sclerosis,BEHAVIORAL: Physiotherapist-guided home exercise with web-based support|BEHAVIORAL: Physiotherapist-guided home exercise with standard support,University of Saskatchewan,Multiple Sclerosis Society of Canada,ALL,"ADULT, OLDER_ADULT",NA,48,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2017-03-06,2018-10-11,2018-10-11,"Department of Physical Medicine & Rehabilitation, University of Saskatchewan, Saskatoon, Saskatchewan, S7K 0M7, Canada"
NCT05098600,"The Epidemiology, Management and Comorbidities in Alopecia Areata in Czech Republic",https://beta.clinicaltrials.gov/study/NCT05098600,COMPLETED,"Alopecia Areata|Alopecia Totalis|Alopecia Universalis|Alopecia Areata (& Ophiasis)|Alopecia Barbae|Alopecia Diffuse|Autoimmune Diseases|Autoimmune Hyperthyroidism|Autoimmune Hypothyroidism|Diabetes Mellitus, Type 1|Ulcerative Colitis|Inflammatory Bowel Diseases|Crohn Disease|Rheumatoid Arthritis|Down Syndrome|Atopic Dermatitis|Atopic Asthma|Atopic Rhinitis|Vitiligo|Psoriasis|Ankylosing Spondylitis|Multiple Sclerosis|Lupus Erythematosus|COVID-19 Pandemic|Vaccine Reaction|Infections|Anemia, Pernicious",OTHER: Exposure of interest,Faculty Hospital Kralovske Vinohrady,,ALL,"CHILD, ADULT, OLDER_ADULT",,123,OTHER_GOV,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-10-15,2022-10-14,2022-12-20,"Teaching Hospital of Royal Vineguards, Prague, 100 00, Czechia"
NCT03091400,Recall Enhancement Through Treatment With Atomoxetine in MS (RETAIN-MS),https://beta.clinicaltrials.gov/study/NCT03091400,COMPLETED,Memory Disorders|Multiple Sclerosis,DRUG: Atomoxetine|DRUG: Placebo,Icahn School of Medicine at Mount Sinai,,ALL,ADULT,PHASE2,11,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2017-03-16,2018-06-11,2018-06-11,"Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States"
NCT00819000,Therapy Optimization in Multiple Sclerosis (MS),https://beta.clinicaltrials.gov/study/NCT00819000,COMPLETED,Multiple Sclerosis,"DRUG: Glatiramer Acetate, IFN-beta 1a (IM), IFN-beta 1a (Subcutaneous), and IFN-beta 1b","Teva Neuroscience, Inc.",,ALL,"ADULT, OLDER_ADULT",,2878,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-12,2012-12,2013-01,"Teva Investigational Site, Swartz Creek, Michigan, United States|Teva Investigational Site, Columbus, Ohio, United States|Teva Investigational Site, Carnegie, Pennsylvania, United States"
NCT01563900,Continuous Positive Airway Pressure (CPAP) for Fatigue in Patients With Multiple Sclerosis (MS) and Obstructive Sleep Apnea (OSA),https://beta.clinicaltrials.gov/study/NCT01563900,WITHDRAWN,Fatigue|Multiple Sclerosis|Sleep Apnea,DEVICE: Auto-titration CPAP|DEVICE: Sham-CPAP,Northwestern University,,ALL,"ADULT, OLDER_ADULT",NA,0,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2012-02,2015-02,2016-02,"Northwestern UNiversity, Department of Neurology, Chicago, Illinois, 60611, United States"
NCT00245622,Autologous T Cell Vaccine (TCV) for Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT00245622,COMPLETED,Relapsing-Remitting Multiple Sclerosis,BIOLOGICAL: Tovaxin Autologous T cell vaccine|BIOLOGICAL: Placebo,"Opexa Therapeutics, Inc.",,ALL,ADULT,PHASE2,150,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2006-05,2008-09,2008-09,"North Central Neurology Associates, PC, Cullman, Alabama, 35058, United States|Xenoscience - 21st Century Neurology, Phoenix, Arizona, 85013, United States|HOPE Research Institute, Phoenix, Arizona, 85050, United States|Alta Bates Summit Medical Center - East Bay Physicians Medical Group, Berkeley, California, 94705, United States|Patricia A Fodor, PC, Colorado Springs, Colorado, 80919, United States|Bradenton Neurology, Bradenton, Florida, 34205, United States|Neurological Associates, Pompano Beach, Florida, 33060, United States|Lovelace Scientific Resources, Sarasota, Florida, 34233, United States|Shepherd Center, Atlanta, Georgia, 30309, United States|Medical College of Georgia - Department of Neurology, Augusta, Georgia, 30912, United States|Consultants in Neurology, Ltd., Northbrook, Illinois, 60062, United States|Allied Physicians Inc, Fort Wayne, Indiana, 46805, United States|MidAmerica Neuroscience Institute, Lenexa, Kansas, 66214, United States|Associates in Neurology, Lexington, Kentucky, 40503, United States|University of Louisville Hospital, Louisville, Kentucky, 40202, United States|Research Nurse Specialists, Lafayette, Louisiana, 70503, United States|St Mary's of Michigan - Field Neuroscience Institute, Saginaw, Michigan, 48604, United States|Ayres & Associates Clinical Trials, Lebanon, New Hampshire, 03766, United States|Upstate Clinical Research, LLC, Albany, New York, 12205, United States|Winthrop University Hospital - Clinical Trials Unit, Mineola, New York, 11501, United States|University Hospital and Medical Center Stony Brook New York, Stony Brook, New York, 11794-8121, United States|Neurology Consultants of the Carolinas, PA, Charlotte, North Carolina, 28204, United States|Raleigh Neurology Associates, Raleigh, North Carolina, 27607, United States|Neurology & Neuroscience Associates, Inc., Akron, Ohio, 44302, United States|Neurological Research Institute, Columbus, Ohio, 43221, United States|Neurology Specialists, Inc, Dayton, Ohio, 45408, United States|Providence St. Vincent Medical Center - Northwest MS Center, Portland, Oregon, 97225, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|The Maxine Mesinger MS Clinic/Baylor College of Medicine, Houston, Texas, 77030, United States|Central Texas Neurology, Round Rock, Texas, 78681, United States|Integra Clinical Research, LLC, San Antonio, Texas, 78229, United States|MS Center at Evergreen, Kirkland, Washington, 98101, United States|Capitol Neurology, Charleston, West Virginia, 25301, United States"
NCT02744222,"Comparative Clinical Trial to Evaluate Efficacy, Safety and Tolerance of BCD-054 and Avonex® for Treatment of Patients With Remitting-relapsing Multiple Sclerosis",https://beta.clinicaltrials.gov/study/NCT02744222,COMPLETED,"Multiple Sclerosis, Relapsing-Remitting",BIOLOGICAL: BCD-054 180 mcg|BIOLOGICAL: Avonex®|BIOLOGICAL: BCD-054 240 mcg|OTHER: Placebo,Biocad,,ALL,ADULT,PHASE2|PHASE3,399,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2017-08-10,2018-11-23,2020-07-06,"State Budgetary Healthcare Institution of Nizhny Novgorod region "" ""Regional Clinical Hospital N.A. Semashko, Nizhny Novgorod"", Nizhny Novgorod, Russian Federation"
NCT02410200,Study of the Effect of BG00012 on MRI Lesions and Pharmacokinetics in Pediatric Subjects With RRMS,https://beta.clinicaltrials.gov/study/NCT02410200,COMPLETED,"Multiple Sclerosis, Relapsing-Remitting",DRUG: dimethyl fumarate,Biogen,,ALL,CHILD,PHASE2,22,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-09-30,2016-09-23,2016-09-23,"Research Site, San Bernardino, California, 92408, United States|Research Site, Gent, B-9000, Belgium|Research Site, Sofia, B-1113, Bulgaria|Research Site, Hradec kralove, 500 05, Czechia|Research Site, Munchen, Bayern, 80337, Germany|Research Site, Gottingen, Niedersachsen, 37075, Germany|Research Site, Dasman, Kuwait City, 15462, Kuwait|Research Site, Riga, LV-1004, Latvia|Research Site, Beirut, 1107 2020, Lebanon|Research Site, Gdansk, 80-952, Poland|Research Site, Poznan, 60-355, Poland|Research Site, Ankara, 06100, Turkey"
NCT00395200,Mesenchymal Stem Cells in Multiple Sclerosis (MSCIMS),https://beta.clinicaltrials.gov/study/NCT00395200,COMPLETED,Multiple Sclerosis,PROCEDURE: MSC Treatment,University of Cambridge,Cambridge University Hospitals NHS Foundation Trust|Medical Research Council,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,10,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2008-07,2010-12,2010-12,"University of Cambridge Dept of Clinical Neurosciences, Cambridge, Cambridgeshire, CB2 0PY, United Kingdom|University College London Institute of Neurology, London, WC1N 3BG, United Kingdom"
NCT01466322,"A Study to Assess the Relative Bioavailability of Different Formulations of GSK2018682, a Sphingosine-1-phosphate Receptor Subtype 1 Agonist, in Healthy Volunteers.",https://beta.clinicaltrials.gov/study/NCT01466322,COMPLETED,"Multiple Sclerosis, Relapsing-Remitting",DRUG: GSK2018682 CD2 Capsule; GSK2018682 CD3 non-micronised Tablet; GSK2018682 CD3 micronised Tablet; GSK2018682 CD3 non-micronised Tablet in fed state,GlaxoSmithKline,,ALL,ADULT,PHASE1,16,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2010-12-22,2011-02-15,2011-02-15,"GSK Investigational Site, Herston, Queensland, 4006, Australia"
NCT05740722,Nicotinamide Riboside Supplementation In Progressive Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05740722,NOT_YET_RECRUITING,Multiple Sclerosis|Progressive Multiple Sclerosis,DIETARY_SUPPLEMENT: Nicotinamid riboside|DIETARY_SUPPLEMENT: Placebo,Haukeland University Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE2,300,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-03-01,2027-08-01,2027-12-30,"Haukeland University Hospital, Bergen, 5019, Norway"
